CCTV,region,lat,lon,count
AID01101,Southern,22.248091,114.152525,1319
AID01102,Southern,22.24712681,114.1577149,1063
AID01103,Southern,22.24863539,114.1621481,1974
AID01104,Southern,22.24837379,114.1658151,1098
AID01105,Southern,22.2496834,114.1686381,1136
AID01106,Southern,22.25044211,114.1718782,2068
AID01107,Southern,22.24999065,114.1762923,1779
AID01108,Wan Chai,22.27186288,114.1801247,2528
AID01109,Wan Chai,22.27659491,114.1810758,2947
AID01110,Wan Chai,22.279356,114.181217,3205
AID01111,Kowloon City,22.30412026,114.1809989,3493
AID01112,Kowloon City,22.30492398,114.1813386,3572
AID01113,Yau Tsim Mong,22.31029,114.17816,1591
AID01114,Kowloon City,22.31330444,114.1769423,1677
AID01115,Kowloon City,22.31850605,114.1789805,2512
AID01116,Kowloon City,22.32074565,114.1786797,1266
AID01117,Kowloon City,22.32435789,114.1783109,2480
AID01118,Kowloon City,22.32843068,114.178476,1948
AID01120,Kowloon City,22.33496881,114.1788837,2184
AID01121,Kowloon City,22.33848171,114.1791459,2240
AID01122,Kowloon City,22.34191,114.17893,1736
AID01123,Kowloon City,22.34521846,114.1813302,2368
AID01124,Sha Tin,22.3592791,114.1751851,2088
AID01125,Sha Tin,22.3634241,114.1798453,2032
AID01126,Sha Tin,22.36544683,114.1836319,2695
AID01127,Sha Tin,22.36700899,114.1859817,2188
AID01128,Sha Tin,22.37114477,114.1892152,1804
AID01129,Sha Tin,22.37381747,114.1929731,1977
AID01130,Sha Tin,22.37448544,114.1957016,1301
AID01131,Sha Tin,22.37624602,114.1986634,1702
AID01132,Sha Tin,22.3809075,114.2005981,2015
AID01133,Sha Tin,22.38371,114.20142,2068
AID01134,Sha Tin,22.38752486,114.2006753,1015
AID01135,Sha Tin,22.39016201,114.1990055,1255
AID01136,Sha Tin,22.39401803,114.1990838,885
AID01201,Wong Tai Sin,22.34566999,114.1815632,2407
AID01202,Kowloon City,22.3424,114.17875,1512
AID01203,Kowloon City,22.33891517,114.1791653,2272
AID01204,Kowloon City,22.33496881,114.1789128,2294
AID01206,Kowloon City,22.32842165,114.1786021,1410
AID01207,Kowloon City,22.32398763,114.1782818,2334
AID01208,Kowloon City,22.32130555,114.1782623,1545
AID01209,Kowloon City,22.31849702,114.179,1508
