CCTV,region,lat,lon
H429F,Southern,22.2485255,114.1501576
H210F,Wan Chai,22.27490622,114.1791642
H421F,Southern,22.25024351,114.1766512
H422F2,Southern,22.24792186,114.1610034
H904F,Wan Chai,22.2793944,114.1813669
H216F,Wan Chai,22.27930409,114.1814057
H305F,Wan Chai,22.28175082,114.1912256
H106F,Central & Western,22.2859674,114.1557495
H110F,Central & Western,22.28688829,114.153993
H138F,Central & Western,22.27768676,114.1596417
H207F,Wan Chai,22.28128179,114.1819201
H204F,Wan Chai,22.28054134,114.1744485
H222F,Wan Chai,22.27971054,114.1765444
H215F,Wan Chai,22.28160696,114.1790867
H214F,Wan Chai,22.27981869,114.1685587
H201F,Wan Chai,22.27783195,114.1685006
H802F,Eastern,22.29106727,114.2119641
H801F,Eastern,22.29401254,114.2054047
H803F,Eastern,22.28826553,114.2211432
H307F,Eastern,22.29022115,114.195273
H903F,Wan Chai,22.27573701,114.1808526
H107F,Central & Western,22.28142516,114.1570698
H130F,Central & Western,22.28179051,114.1323068
H132F2,Central & Western,22.27758183,114.130872
H109F,Central & Western,22.27982723,114.1616694
H108F,Central & Western,22.28036864,114.1576522
H209F,Wan Chai,22.27504169,114.1783686
H422F1,Southern,22.24828309,114.1611004
H401F,Southern,22.25055947,114.1706947
H203F,Wan Chai,22.28011673,114.1846175
K202F,Yau Tsim Mong,22.31981545,114.1728075
K209F,Yau Tsim Mong,22.32660644,114.17206
K104F,Yau Tsim Mong,22.30127544,114.1680916
K106F,Yau Tsim Mong,22.30270251,114.1772723
K109F,Yau Tsim Mong,22.30557423,114.1788251
K221F,Yau Tsim Mong,22.31830685,114.1635385
K305F,Sham Shui Po,22.33866944,114.1518975
K802F,Sham Shui Po,22.34304974,114.1551682
TK110F,Sai Kung,22.30500482,114.2544171
K627F,Kwun Tong,22.3334725,114.2219631
K107F,Yau Tsim Mong,22.30209742,114.1805719
K108F,Yau Tsim Mong,22.3057997,114.1667908
K613F,Kwun Tong,22.32535714,114.2087889
K404F,Kowloon City,22.3140446,114.1874923
K325F,Sham Shui Po,22.3371325,114.142375
K814F,Kwun Tong,22.32573725,114.2042658
K812F,Kwun Tong,22.30913278,114.2295157
K813F,Kwun Tong,22.31230599,114.2174335
K621F,Kwun Tong,22.32951984,114.2107603
K809F2,Kwun Tong,22.31947692,114.2148344
K810F,Kwun Tong,22.31464427,114.2199383
K602F,Kwun Tong,22.31013525,114.2292831
K804F,Sham Shui Po,22.3420935,114.1647497
K505F,Wong Tai Sin,22.34290651,114.1845919
K614F,Kwun Tong,22.33399946,114.20849
K508F,Wong Tai Sin,22.34148739,114.1989686
K405F,Kowloon City,22.32217214,114.1874347
K205F,Yau Tsim Mong,22.32230774,114.1686338
TK101F,Sai Kung,22.32604763,114.2511576
TK105F,Sai Kung,22.31815879,114.2616358
K506F,Kowloon City,22.32769862,114.1905897
K521F,Wong Tai Sin,22.33257458,114.1961231
K123F,Yau Tsim Mong,22.31084812,114.1779419
K409F,Kowloon City,22.32128749,114.1780488
K408F,Kowloon City,22.31726887,114.1785729
K102F,Yau Tsim Mong,22.29557735,114.1753702
K101F,Yau Tsim Mong,22.29458393,114.1725851
K607F,Kwun Tong,22.32400731,114.2258911
K811F,Kwun Tong,22.31209325,114.2341463
TK904F,Sai Kung,22.31734805,114.2576851
K111F,Yau Tsim Mong,22.31216628,114.1668971
K112F,Yau Tsim Mong,22.31317793,114.1716528
K502F,Kowloon City,22.34014333,114.1790585
K816F,Sham Shui Po,22.32504352,114.1618295
K914F,Sham Shui Po,22.33089245,114.1427454
K911F,Yau Tsim Mong,22.31438739,114.1614812
TW117F,Kwai Tsing,22.37020629,114.1234625
TW109F,Kwai Tsing,22.3648908,114.1353776
SM936F,Tsuen Wan,22.37653656,114.1230523
TC101F,Kwai Tsing,22.34864601,114.1115299
TC302F,Kwai Tsing,22.34472737,114.0932424
TW102F,Kwai Tsing,22.339406,114.133201
TW108F,Kwai Tsing,22.36080797,114.1315632
TW105F,Kwai Tsing,22.35524257,114.1231284
TW116F,Kwai Tsing,22.36698179,114.1216578
TC104F,Sham Shui Po,22.33851168,114.1321335
TW121F,Kwai Tsing,22.34854601,114.1099184
TW120F,Tsuen Wan,22.3701465,114.1085293
TW103F,Kwai Tsing,22.36196889,114.118951
TW112F,Kwai Tsing,22.37245862,114.1362978
TI101F,Yuen Long,22.43594219,114.0005451
YL111F,Yuen Long,22.44465535,114.0361091
YL106F,Yuen Long,22.44436291,114.0321847
YL101F,Yuen Long,22.44640711,114.0165806
TC604F,Kwai Tsing,22.36029874,114.081767
SW109F,Yuen Long,22.42806827,114.0011184
SW113F,Yuen Long,22.44337572,114.0392287
SW112F,Yuen Long,22.43381492,114.0317002
SW111F,Yuen Long,22.43812359,114.0139673
BC702F,Yuen Long,22.4863216,114.0584951
FH711F,Tai Po,22.46557484,114.1503591
TP113F,Tai Po,22.46264873,114.1489023
FH104F,North,22.5040348,114.0949935
FH107F,North,22.49860284,114.127913
FH106F,North,22.50049801,114.1240735
NH101F,North,22.48802377,114.1464192
NH109F,North,22.50041071,114.1342197
TP114F,Tai Po,22.44660398,114.1719393
BC103F,Yuen Long,22.50212205,114.0816315
BC101F,Yuen Long,22.4732254,114.0556398
BC102F,Yuen Long,22.4927649,114.0649812
NH113F,North,22.50305446,114.1267355
NH115F,North,22.50116311,114.1470091
TP105F,Tai Po,22.45119145,114.172114
TP112F,Tai Po,22.45219287,114.1586098
TP102F,Tai Po,22.45688973,114.1773116
ST115F,Sha Tin,22.38982807,114.1975391
ST725F,Sha Tin,22.37000701,114.1879529
ST731F,Sha Tin,22.41374312,114.227933
ST732F,Sha Tin,22.41757026,114.2332959
ST112F,Sha Tin,22.37150644,114.1792338
ST117F,Sha Tin,22.42173545,114.2268287
ST119F,Sha Tin,22.42718513,114.2402838
ST715F,Sha Tin,22.37760035,114.2004308
ST106F,Sha Tin,22.3779165,114.1998871
ST721F,Sha Tin,22.38380417,114.2014612
SM933F,Sha Tin,22.37778258,114.1824479
SM934F,Sha Tin,22.38244241,114.1741555
ST109F,Sha Tin,22.38920413,114.2032781
ST114F,Sha Tin,22.3843925,114.1898379
ST703F,Sha Tin,22.39488488,114.1996569
ST712F1,Sha Tin,22.39842255,114.2123212
ST714F,Sha Tin,22.38789322,114.2111629
TH110F,Tai Po,22.43822255,114.1968177
TH114F,Tai Po,22.44478893,114.1776419
TH101F,Sha Tin,22.41141738,114.2125867
TH703F,Tai Po,22.44067912,114.1592719
TH701F,Tai Po,22.45634561,114.1496225
ST701F,Sha Tin,22.40714628,114.2110997
FH706F,North,22.49162524,114.1386246
ST922F,Sha Tin,22.36487795,114.1822532
SW103F,Yuen Long,22.426992,113.982439
SW108F,Yuen Long,22.42438851,113.9971503
TL102F,Yuen Long,22.41030489,114.0605797
TL103F,Tsuen Wan,22.37542451,114.0669298
TS102F,Kwai Tsing,22.33475496,114.1066537
TS104F,Kwai Tsing,22.34238857,114.1437231
TS105F,Sha Tin,22.36758712,114.1714857
TW701F,Tsuen Wan,22.37667801,114.1145851
H702F,Central & Western,22.29032691,114.1423865
H703F,Central & Western,22.28871049,114.142678
K901F,Yau Tsim Mong,22.30759635,114.1612005
K931F,Wong Tai Sin,22.33368375,114.2065874
K952F,Kwun Tong,22.30140107,114.2339672
ST942F,Sha Tin,22.38206891,114.2093748
K121F,Yau Tsim Mong,22.29627254,114.1692661
TL101F,Yuen Long,22.43886499,114.056136
TS101F,Kwai Tsing,22.34330086,114.0938645
CW103F,Central & Western,22.28737633,114.1569719
CW803F,Eastern,22.28988738,114.191702
HH001F,Tai Po,22.47786575,114.1535925
HH002F,North,22.53028872,114.1709837
HH003F,North,22.53909273,114.1618259
HH004F,North,22.54589147,114.1527062
TC560F,Kwai Tsing,22.35110094,114.074065
TC551F,Tsuen Wan,22.34523759,114.0572263
TC573F,Tsuen Wan,22.33733939,114.0389447
NL121F,Tsuen Wan,22.3249869,114.0204954
NL124F,Islands,22.31008185,113.9904935
NL206F,Islands,22.29964603,113.9709987
NL126F,Islands,22.2980955,113.9660833
NL128F,Islands,22.2889767,113.9476306
NL022F,Islands,22.30805,113.93874
PB106F,Tsuen Wan,22.3253802,114.0357825
TR101F,Tsuen Wan,22.37407235,114.1030026
TR103F,Tsuen Wan,22.37033628,114.0899744
TR105F,Tsuen Wan,22.37129549,114.0777009
TC612F,Tsuen Wan,22.37038995,114.0737207
TR107F,Tsuen Wan,22.36559198,114.0694813
TR108F,Tsuen Wan,22.36947897,114.0619535
TR111F,Tsuen Wan,22.36486675,114.0416459
TR114F,Tuen Mun,22.35818188,114.0191574
TR116F,Tuen Mun,22.36741164,114.002117
TR119F,Tuen Mun,22.38313566,113.9801811
TR704F,Tuen Mun,22.39807653,113.9764601
TR706F,Tuen Mun,22.41137289,113.9793256
RT116F,Tuen Mun,22.38552239,113.9750312
TM103F,Tuen Mun,22.38336855,113.9643918
RT115F,Tuen Mun,22.37616562,113.9601401
TM101F,Tuen Mun,22.37340927,113.9654167
TM118F,Tuen Mun,22.39405567,113.974611
TC001F,Islands,22.31537,113.959797
TC002F,Tuen Mun,22.372131,113.953067
TC003F,Tuen Mun,22.363326,113.948462
AID01101,Southern,22.248091,114.152525
AID01102,Southern,22.24712681,114.1577149
AID01103,Southern,22.24863539,114.1621481
AID01104,Southern,22.24837379,114.1658151
AID01105,Southern,22.2496834,114.1686381
AID01106,Southern,22.25044211,114.1718782
AID01107,Southern,22.24999065,114.1762923
AID01108,Wan Chai,22.27186288,114.1801247
AID01109,Wan Chai,22.27659491,114.1810758
AID01110,Wan Chai,22.279356,114.181217
AID01111,Kowloon City,22.30412026,114.1809989
AID01112,Kowloon City,22.30492398,114.1813386
AID01114,Kowloon City,22.31330444,114.1769423
AID01115,Kowloon City,22.31850605,114.1789805
AID01116,Kowloon City,22.32074565,114.1786797
