CCTV,count
TDSTPR10015,909
TDSTKR10001,1397
AID05201,1962
TDS91059,894
TDS90038,0
AID01116,1266
K409F,4123
AID04109,2405
TR116F,4760
AID08114,850
AID01121,2240
K202F,7778
AID04202,1124
H421F,4691
TDSTYR20002,280
AID09120,2027
TDSTKR20003,1114
AID07207,1452
H204F,7067
AID07230,2625
AID03110,961
TDS30008,0
TDS90092,836
TDS10013,1509
K107F,10590
ST714F,5347
AID02113,1137
AID10207,775
AID02124,1755
AID08108,928
AID04122,2161
AID04115,1860
TDS91045,1254
K602F,7430
TDSTPR10009,866
TDS90013,409
AID05121,1572
AID05116,1322
TDS90046,0
TDS91027,0
AID08203,3265
FH104F,4149
SM934F,4681
TDS91010,1600
AID09255,1534
TDS90071,1122
AID01201,2407
AID10110,611
TH101F,5983
AID02204,1119
TDSPBH20002,1082
AID07127,2040
AID07110,1483
RT115F,6234
TDSCPRLT20001,1608
AID03207,1765
H703F,5062
TDSPERE10001,2113
AID07101,1337
TDSTTR10001,806
TH114F,6841
AID02215,1196
AID10101,884
H108F,6900
TDS30005,974
TDS91001,1518
TDS90060,443
AID01210,1798
TDS90057,0
AID08212,874
TDSMOSB20004,1032
TDSCPRKC20004,1106
AID05130,0
TDSTCKR20002,1200
TDS90002,1229
TDS91063,1503
PB106F,1786
TDS91054,1631
TDSLTR20004,934
TDS90035,1543
TW109F,7024
AID04104,1878
TDSNCWBR20002,2197
AID08119,1406
K814F,6074
AID10216,543
NH101F,5512
TDS10002,1157
ST701F,5590
AID03101,807
K112F,5167
AID07221,1591
TDSTPR20006,898
FH706F,5006
AID02209,1415
AID07216,1685
AID09106,796
TH703F,3637
TR103F,5121
AID09258,1389
AID04213,2119
K305F,9756
AID08105,859
AID01130,1301
AID04118,1453
AID01107,1779
AID09153,1774
TDSCPRPS20002,886
AID05227,2588
TDS91048,362
TDSTPR10004,590
AID05210,1640
TDSLFR10002,1411
TC612F,5356
TP105F,5101
AID05135,1420
TDSCPRKC20001,1355
AID05102,513
TDSMOSB20001,1066
TDS90052,2086
AID01222,1191
AID08217,974
TDS91004,1675
AID08220,1235
TDSSPWR10001,1850
TDS90065,1092
AID01215,1259
AID01129,1977
AID04101,719
TDSLTR20001,1041
TDS91051,978
TDS90030,1213
TDS91066,1412
AID05209,2349
AID07133,1442
AID07104,2514
TDSMOSB10003,850
TDSCPRKC10003,1409
TDSSPWR20003,860
K405F,9264
TDSJCR10002,1304
K931F,6599
AID03118,967
AID10104,609
TDSLTR10003,1500
AID02210,1380
TDS91018,1486
TDS20005,1276
AID04216,2224
TDS90079,1140
AID01209,1508
AID04221,745
SW109F,4670
AID09103,1160
AID05129,2190
AID05215,1478
AID05222,1428
AID09208,1247
AID01102,1063
BC103F,3358
AID09156,1193
AID01135,1255
TDS10007,1208
AID02107,1770
AID07118,2420
K809F2,5020
AID10213,713
TDSTPR20003,814
AID07213,2419
AID10118,801
AID07224,2353
H214F,4941
TL102F,2919
AID03104,829
K811F,4959
TDSCPRHSK20002,988
TDS90086,855
AID03122,825
AID03115,1545
TDSIEC20002,2857
AID10109,575
K102F,6352
TDSTPR20012,835
TDSTKR20006,1303
AID07202,2135
AID02121,1980
AID10202,527
AID07109,1685
AID02116,1622
H201F,6453
K804F,5003
TW105F,5575
NL022F,2095
AID08111,887
AID01124,2088
AID01113,1591
TDSMOSR20002,1191
AID05233,728
H802F,6212
TDSTPR10010,2046
TDSTKR10004,1335
AID05204,2219
AID09112,1706
TI101F,4495
TDS91009,1869
TDS90068,325
AID01218,1541
AID04207,1372
AID02201,1392
AID10115,615
AID07229,1662
AID03109,906
K502F,5325
TDSYSR20003,1072
TDSTPTWR20001,595
TR704F,5221
AID03202,1653
AID07115,1784
AID07122,2012
TDS90016,1790
AID05218,1982
